ich	I
Schulabschluss	Graduation
Gegenüberstellung	Juxtaposition
verwehren	deny
anfällig	susceptible
einschleusen	smear
Auffahrt	Driveway
präsent	present
Blümchen	Floral
rhythmisch	rhythmical
Geburtstagskind	Birthday boy
Sicherheitsgurt	Safety belt
Bürokrat	bureaucrat
datieren	date
Schwachstelle	weak spot
Seriennummer	serial number
Brunch	brunch
Asphalt	asphalt
Masturbation	masturbation
saftig	juicy
Frust	frustration
Moslem	Muslim
andocken	docking
Rentner	pensioner
Bewerbungsgespräch	Job Interview
Seher	Seer
Pferdeschwanz	Ponytail
Tastatur	keyboard
Wellenlänge	wavelength
funktionsfähig	functioning
attackieren	attack
formell	formally
bloßstellen	expose
sorglos	carefree
Verführung	seduction
heimsuchen	haunt
unrein	unclean
entwaffnen	disarm
Hymne	anthem
Trubel	Bustle
kompromittieren	compromise
Anschrift	address
Gemeinheit	Meanness
gestreift	striped
viereinhalb	four and a half
kostspielig	expensive
Nebenzimmer	Adjoining room
Geber	giver
taktlos	tactless
Drehbuch	script
jeweilig	respective
Tonfall	Inflection
Bettlaken	Bedsheet
schädigen	damage
dasitzen	sitting
Betonung	Emphasis
huckepack	piggyback
Pflaume	plum
zuvorkommend	courteous
verschlüsseln	encrypt
galant	gallant
verwundert	surprised
vermerken	note
gefügig	confidently
Einfachheit	simplicity
Revolte	revolt
einweihen	inaugurate
Fell	fur
wogegen	whereas
festbinden	tie
desinfizieren	disinfect
zurückdrehen	turn back
inkognito	incognito
Speer	spear
verwehen	let
Brauch	Custom
kinderleicht	dead easy
Wiederwahl	Re-election
Pfosten	post
Lilie	lily
Robe	robe
Hochachtung	Respect
lockern	loosen
verlernen	unlearn
Ärgernis	Annoyance
matsch	mud
anbrennen	burn
ungemütlich	uncomfortable
verwetten	staple
huldigen	pay homage
weismachen	know
Aufmachung	Presentation
Vorstadt	Suburb
Einsturz	collapse
glitzern	glitter
Anhaltspunkt	reference point
stickig	stuffy
Zutrauen	confidence
Ankläger	Prosecutor
zähmen	tame
herfahren	drive up
Geschwader	squadron
Pflichtverteidiger	Duty defender
angehören	believe
Nervenkitzel	Thrill
jähzornig	irascible
Spargel	asparagus
Doktortitel	Doctorate
totschlagen	kill
beliebt	popular
Feindschaft	enmity
hintun	put
schwerhörig	hard of hearing
einäschern	uncheck
Sperrstunde	Curfew
Anschreiben	Write to
Zaster	Zaster
Schlachthaus	Slaughterhouse
Wortwahl	Choice of words
Einleitung	introduction
Niemandsland	no mans land
Irrenanstalt	Asylum
Filmgeschäft	Film shop
Comeback	comeback
Prozession	procession
Erdatmosphäre	Earth's atmosphere
unterbreiten	submit
weiterleiten	hand off
Aufforderung	request
austrocknen	dry out
(he)runterfallen	(falling off
Flirt	flirt
einflussreich	influential
Weihnachtsfest	Christmas
vibrieren	vibrate
Wohlfahrt	Welfare
verbiegen	bend
Überläufer	Trafficker
Vernehmung	Interrogation
Wartezimmer	Waiting room
zurücklegen	return
Scheideweg	crossroads
Heer	army
aufgeschlossen	open minded
nuklear	nuclear
Fragebogen	questionnaire
neunzehn	nineteen
dänisch	Danish
herankommen	get approached
verdursten	spend
Ferienlager	Vacation camp
Funkgerät	Radio
Abschlag	Tee
Privatnummer	Private number
Müllhalde	Dump
Schabe	Cockroach
Absprung	Jump
abbringen	dissuade
Zähler	counter
koreanisch	Korean
Reisepass	passport
hypothetisch	hypothetical
schleunig	throw
Sprechanlage	Intercom
betreuen	look after
untergeben	subordinate
Bankdirektor	Bank director
Wachdienst	Guard
degradieren	degrade
Gerinnsel	clot
skeptisch	skeptical
Rundgang	tour
Anbeginn	Start
reinhauen	pure
Gehirntumor	Brain tumor
Spülung	Flush
Waschbär	racoon
schwermütig	melancholy
Primat	primate
Motelzimmer	Motel room
irakisch	Iraqi
inbegriffen	included
unlogisch	illogical
versklaven	enslave
gedulden	tolerate
blinzeln	blink
Untier	monster
schweigsam	silent
grell	glaring
einbuchen	book
Osten	east
bedingungslos	unconditionally
Provokation	provocation
wimmeln	teemen
Obrigkeit	Authority
auflesen	stop
Besserungsanstalt	Improvement
Leichenwagen	Corner
gähnen	yawning
nachhelfen	help
rar	rar
horchen	listen
Pflug	plow
Monolog	monologue
ungewohnt	unfamiliar
Ruß	soot
knüpfen	make
einstürzen	collapse
Nachlass	estate
Pastete	Pate
schmusen	cuddle
Saustall	Sausetal
bürgen	guarantee
Gespann	Trailer
gackern	cackle
enttäuschend	disappointing
tonnenweise	barrel
bewegend	moving
erklimmen	climb
Duett	duet
einfallsreich	ingenious
flink	flink
unentschlossen	undecided
Liebchen	sweetheart
Tageszeit	Daytime
Hustensaft	Cough Syrup
auferlegen	impose
Absprache	Arrangement
aufblasen	inflation
Überlegenheit	superiority
Optimist	Optimist
statuieren	statulate
Wassermelone	Watermelon
Fotoapparat	Camera
Schottland	Scotland
Regent	regent
Klugheit	wisdom
Volk	people
Reinfall	Pure case
Monument	monument
Familienmitglied	family member
Hyäne	hyena
entlasten	relieve
abbezahlen	deposit
erheblich	significant
Klavierspieler	Pianist
Ausguck	Spooky
Kreuzworträtsel	Crossword
Clique	clique
Nichtsein	Not be
gekühlt	chilled
Pförtner	usher
barbarisch	barbaric
Rasierklinge	razor blade
erdrosseln	strangle
(he)runterbringen	(Hey)
herbestellen	regroup
verstellen	adjust
Schusswunde	Weighing wound
Fänger	Catcher
Sender	Channel
Bediensteter	Operator
Fallschirmjäger	Paratrooper
melodramatisch	melodramatic
aufgeschmissen	stuck
Konkurrent	competitor
geschwind	fold
beweglich	movable
Fingerspitze	Fingertip
Dampfer	Steam boat
Falltür	Drop-door
umsteigen	change
volltanken	fullrink
umtauschen	exchange
Kegel	cone
verrechnen	settle
Zielort	Destination
Komplexität	complexity
Leib	body
Diebesgut	Thief
zurückblicken	look back
pochen	throb
hochklettern	climbing up
Bettdecke	Duvet
Sommerhaus	Summer house
verwählen	reflect
aufgabeln	put up
orientalisch	Oriental
etabliert	established
Nagellack	nail polish
Konstellation	constellation
Aufgebot	Bid
visuell	visually
vorhersehbar	predictable
erbeuten	cauterize
Seelenheil	Soul
voraussehen	foresee
Quiz	quiz
paradox	paradox
Taverne	tavern
Eingangstür	entrance
Auktionator	auctioneer
prominent	prominent
vereint	united
Verordnung	regulation
rational	rational
Gewehrfeuer	Rifle
Eingabe	input
Zeitreise	Time travel
Bügel	hanger
Kopfverletzung	Head injury
dreihundert	three hundred
erwägen	consider
symbolisch	symbolic
Autoradio	Car radio
Körperbau	anatomy
Sterling	sterling
Kassierer	cashier
Törtchen	Tart
erliegen	succumb
Transmitter	Transmitter
obszön	obscene
Gewächshaus	Glasshouse
kraus	kraus
durchleben	experience
Friseuse	Frise
beziehungsweise	or
Rassismus	racism
vergleichbar	comparable
Aktivierung	activation
Elektron	electron
Vandalismus	vandalism
Umweltverschmutzung	environmental pollution
Herpes	Herpes
Kettensäge	chainsaw
Massenmörder	Mass murderer
Gebärmutter	uterus
Schnauze	snout
Sternbild	Constellation
vertikal	vertical
Marketing	marketing
aushandeln	negotiate
speicheln	salivate
überrennen	overrun
absorbieren	absorb
Filzlaus	Felt
Stirnband	Headband
Herzfrequenz	Heart rate
Joch	yoke
Diktator	dictator
fürwahr	tribute
besinnen	remember
Geselle	Journeyman
Gasthof	Inn
Bilanz	Balance
Berichterstattung	reporting
Flohmarkt	flea market
sechzig	sixty
Brandstifter	Arsonist
Sauerkraut	sauerkraut
ausladen	unload
unvollständig	incomplete
Schießeisen	Shooting iron
Register	register
achtzig	eighty
Wesen	Creature
Alleinsein	To be alone
Stube	Stube
duzen	duke
Nervosität	nervousness
sportlich	athletic
vorübergehen	pass
unhörbar	inaudible
Genialität	Geniality
erstbeste	first
flennen	flace
prinzipiell	in principle
befriedigend	satisfying
Unkosten	expenses
Hängematte	hammock
Kapitän	captain
austreiben	expel
Hochzeitskleid	Wedding dress
Rennpferd	Racehorse
Reservoir	reservoir
heimtückisch	insidious
unaufhörlich	incessant
betätigen	actuate
Handfläche	Palm
zuziehen	move
Schwingung	vibration
ehrbar	honorable
Konföderation	confederacy
vorfinden	find
Typhus	typhus
Torso	torso
kommandieren	command
rütteln	shake
abschaffen	abolish
abstatten	pay off
Vormarsch	March
erhitzen	heat
zurückkaufen	buy back
tropisch	tropical
Untertreibung	understatement
zudecken	cover up
bereitstehen	stand up
beleben	revive
Anspielung	innuendo
schimmeln	shimmish
lynchen	lynch
erstrecken	extend
Benutzung	use
Theater	theatre
Flussufer	River bank
auswirken	impact
verschanzen	hide
Stadtzentrum	City center
Sonderpreis	Special Price
kurieren	cure
Erhaltung	conservation
wälzen	roll up
Deckmantel	Coat
Trio	trio
Fehlgeburt	Miscarriage
basteln	handcraft
Telepathie	telepathy
Anmeldung	Registration
Prise	prize
Schalldämpfer	silencer
Revolverheld	Revolver
verstricken	entangle
abgelegen	remote
Analytiker	analyst
zapfen	tap
zuwenden	go to
Türschwelle	Barrier
Obsession	obsession
erwärmen	heat
unausstehlich	inept
Pünktlichkeit	punctuality
umkreisen	circle
gewünscht	wished
Terminkalender	Schedule
hinknien	hike
erstgeboren	firstborn
Lorbeer	laurel
verkehrt	wrong
steuerfrei	tax-free
vollstrecken	enforce
Trompeter	trumpeter
abwechselnd	alternately
ungemein	uncomfortable
doppeln	doubles
einwickeln	wrap
Zwangsjacke	Forced jacket
neutralisieren	neutralize
Telefongesellschaft	Telephone company
Honduras	Honduras
Hühnerstall	chicken coop
Trikot	shirt
volljährig	year-round
atomar	atomic
beherrscht	controlled
vorlaut	preliminary
ausspucken	spit
Säugetier	mammal
Merkur	Mercury
Kreuzigung	crucifixion
formieren	form
Polizeistation	Police station
Hufschmied	Hoarding
Weihnachtsfeier	Christmas party
zweierlei	two
Bohne	Bean
schändlich	shameful
Abschnitt	section
Keim	Germ
rundum	all around
gewissenhaft	conscientious
muh	moo
weben	weave
Kiosk	kiosk
radioaktiv	radioactive
Wohlgefallen	False
rumkriegen	go around
Tortur	torture
konkret	concrete
begutachten	inspect
unfehlbar	infallible
weglegen	put away
vorhersehen	forecast
erörtern	discuss
haften	be liable
Maat	Mat
Überbleibsel	Remnant
durchtrennen	ride through
Nervenklinik	Nerve clinic
Schmerz	pain
Nudelsuppe	noodle soup
Gewölbe	Vault
Absperrung	Barrier
terrorisieren	terrorize
würdevoll	graceful
Klotz	Log
ungeschoren	uncouth
vermessen	measure
Referat	presentation
Däne	Dane
Rentier	reindeer
Ursprung	origin
röcheln	rattle
unangemessen	unreasonable
Modul	module
Rolltreppe	Escalator
alsbald	soon
saukalt	sauce
Mobiltelefon	Mobile phone
ranfahren	ran
bekifft	stoned
diagnostizieren	diagnose
Strandhaus	Beach house
Podium	Podium
Herzattacke	Heart attack
überwiegend	mostly
Messung	Measurement
Geldmenge	Money
Krempel	Cremp
mystisch	mystical
zuwider	revival
selbstbewusst	confident
abstoßen	repel
zimperlich	squeamish
verbitten	prohibited
Hilfsmittel	Tool
missfallen	displeasure
schwärmen	swarm
Nordseite	North side
Allee	avenue
Verbannung	exile
vorzeigen	show
Gouvernante	governess
hochnäsig	upswing
Wildkatze	Wildcat
Erdnuss	peanut
Polizeischutz	Police protection
mithören	listen
weiterkämpfen	continue fighting
anmutig	graceful
zusammenführen	merge
glitschig	slippery
heimzahlen	pay back
Glückseligkeit	bliss
Makel	Blemish
(he)rausgeben	(Hey)
Aufmunterung	encouragement
zertreten	crush
Drüse	gland
andrehen	touch
geistesgestört	mentally
Stachel	Sting
Guthaben	Credit
Quacksalber	Quack
einschläfern	push
Mut	courage
herumführen	lead around
vereidigen	swear out
losschicken	send off
Kanonenkugel	Cannonball
Sombrero	sombrero
verkürzen	shorten
Brennstoff	fuel
Bauchweh	a stomach ache
verächtlich	contemptuously
Fokus	focus
beiwohnen	attend
Strudel	swirl
bekehren	convert
Kapazität	capacity
Filz	felt
Festmahl	feast
desertieren	desert
umkippen	tilt
glühend	glowing
anlassen	start
Passierschein	pass
befehligen	command
Ballade	ballad
unterstehen	undergo
Versicherungspolice	Insurance policy
ungehobelt	uncouth
abrasieren	abrasive
bisweilen	sometimes
verpatzen	chat
Hungersnot	famine
Metier	metier
Trauerfeier	Funeral
blinken	flash
Fastenzeit	Fasting time
bestreben	strive
gesellig	sociable
Aushilfe	Assistance
wirkungsvoll	effective
Adressbuch	directory
erkaufen	buy
zerbrochen	broken
verschmutzen	pollute
ungebildet	uneducated
vortanzen	dance
prüde	prudish
annähen	sew on
derweil	Meanwhile
vereinfachen	simplify
erbarmungslos	merciless
abschieben	enlove
kühlen	cool
mitarbeiten	cooperate
rutschig	slippery
schweigend	silent
Kriegsschiff	Warship
splitternackt	naked
Zurückhaltung	Restraint
Betrachtung	Consideration
durchsehen	look through
pudern	powder
Obstgarten	Orchard
fettig	greasy
stilvoll	stylish
stranden	stretch
drosseln	throttle
gottverlassen	god
tugendhaft	virtuous
Hinblick	Liability
Nachteil	disadvantage
Kimono	kimono
Boutique	boutique
Lotus	lotus
großmütig	magnanimous
Renner	Racer
verunsichert	unsettled
entflammen	flare up
vollstopfen	stuff
kuscheln	cuddling
verdrücken	crush
vereinzelt	occasional
Ringrichter	Frier
verunglücken	tinker
Kripo	Cripple
Ausdehnung	expansion
Schramme	Scrape
Betreuung	care, support
Ordner	folder
Straßensperre	Roadblock
verdauen	digest
übersäen	tab
Ignoranz	ignorance
wegschmeißen	throw it away
Verwundung	Wound
Elektroschock	Electric shock
entgegenkommen	meet
Selbstmordversuch	Suicide
Sammelpunkt	Collecting point
Cholesterin	cholesterol
gebraucht	second hand
Wohlbefinden	Well-being
dokumentieren	document
Verlogenheit	Mendacious
Abhängigkeit	Dependency
fehlerhaft	faulty
Hydraulik	Hydraulics
Lügendetektortest	Popular attector
Archäologe	archaeologist
Tupfer	swab
dazugehören	this includes
Alimente	alimony
Spange	Clasp
Nabel	navel
durchlöchern	perforate
weltlich	secular
Zypern	Cyprus
Angelrute	fishing rod
frühestens	at the earliest
Gefährdung	Danger
Kriterium	criteria
Mittelsmann	Medium
entsichern	release
Telefonrechnung	Telephone bill
Zeit schinden	Time shaping
Popmusik	pop music
mobilisieren	mobilize
mitfliegen	fly
Beatmung	Ventilation
Chorgesang	Choir
zutreffend	applicable
verbal	verbal
Aal	eel
Doktorarbeit	Doctoral thesis
Prellung	bruise
Geiselnahme	hostage taking
Sellerie	celery
Rockband	Rock band
Popularität	popularity
Erkrankung	illness
Druckwelle	Pressure wave
statistisch	statistical
Workshop	Workshop
Repräsentant	representative
Traumwelt	Dream world
Beschuss	bombardment
Spuk	Spooky
eisig	icy
Holzkopf	Wooden head
Mittagszeit	Lunchtime
einleben	settle
schwatzen	chatter
infolge	as a result
ausbaden	load
Schafott	scaffold
freudig	joyful
närrisch	foolish
Skizze	sketch
verschrecken	trim
annehmbar	acceptable
damalig	at that time
Bandage	bandage
schottisch	Scottish
Morgenrock	Morning skirt
verfliegen	decline
Riecher	nose
plausibel	plausible
Schlüsselloch	keyhole
Rattengift	Rug
Aufstand	revolt
besänftigen	soothe
Sauberkeit	cleanliness
existierend	existing
rekonstruieren	reconstruct
hierlassen	leave here
Grübchen	dimple
obenauf	on top
nichtsdestotrotz	Nevertheless
Kontaktmann	Contact man
wohingegen	whereas
Leuchtfeuer	beacon
Brandung	surf
Stickerei	embroidery
Anprobe	Sampling
schmollen	roll
Verwüstung	devastation
beschlagen	fog
Schluckauf	hiccup
Fasan	pheasant
vorbehalten	Reserved
Leitartikel	editorial
tuten	tute
ehemals	formerly
nachahmen	imitate
Busch	bush
beharrlich	persistent
Frachtraum	Cargo
hinwegkommen	come across
Knast	Jail
überrollen	roll over
Pore	pore
zusetzen	add
durchnässen	soak
Altstadt	Old town
untergraben	undermine
indirekt	indirectly
Wirbelsturm	Hurricane
Flutwelle	tidal wave
philosophisch	philosophical
Spielzug	Moving train
beschädigen	to damage
unentbehrlich	essential
herumliegen	lying around
ausfragen	inquire
monatlich	per month
akademisch	academic
Todsünde	mortal sin
schleusen	lock
Geisteskrankheit	Mental illness
Starthilfe	Jump
banal	banal
unnütz	useless
berauschen	enrapture
einfliegen	fly
erdrücken	crush
im Alleingang	single-handed
verleiten	lose
innig	intimate
Empfindung	sensation
Steckbrief	Characteristics
Schreiner	Carpenter
Gebell	barking
abtrocknen	dry
schikanieren	harass
empörend	outrageous
Projektor	projector
Gebrauchtwagen	used cars
angewidert	disgusted
Elfe	Elf
Gerüst	framework
verantwortungslos	irresponsible
bereichern	enrich
orientieren	orientate
bestücken	fit
tilgen	pay off
bedrängen	press
unzulässig	inadmissible
draufstehen	get on top
Tollpatsch	Rugged
Anbruch	Pitch
Flüchtlingslager	Refugee camp
neurotisch	neurotic
Schimpfwort	Scoldword
Expansion	expansion
Schlepper	tractor
Nachttisch	Bedside table
Termite	termite
Mündung	mouth
industriell	industrial
stubenrein	Potty trained
Gefängnisstrafe	Prison
kaltmachen	keep cold
platschen	splash
einnicken	doze off
Nachfahre	Downstream
empfänglich	susceptible
untätig	idle
Baseballspiel	Baseball game
Sensibilität	sensitivity
Sadist	sadist
reinwaschen	wash
Dissertation	dissertation
Prachtkerl	Splendid guy
Spaßvogel	Jewel
Lotion	lotion
Magister	Magister
Schießstand	Shooting range
Auspuff	Exhaust
Kruzifix	crucifix
Darsteller	actor
Gewaltanwendung	Violence
labil	labile
kastrieren	castrate
schlummern	slumber
Besorgung	Disposal
zusammenstellen	put together
klamm	gorge
beträchtlich	considerably
pathetisch	pathetic
zurückfallen	fall back
zerhacken	chop
Vermittler	Intermediary
einstweilig	injunction
Quartal	quarter
absprechen	arrange
ablesen	read off
Epilepsie	epilepsy
geladen	invited
Einweisung	Instruction
herrschend	ruling
drankriegen	drank
überbewerten	overvalue
nebenher	on the side
krabbeln	crawl
Vektor	vector
Raffinerie	refinery
Lederjacke	Leather jacket
mogeln	mug
Telefonleitung	Telephone line
Maschinengewehrfeu	Machine gun
Föhn	hairdryer
Müllabfuhr	Garbage
brandmarken	brand
Lügendetektor	lie detector
niederschießen	shoot down
Sägewerk	Sawmill
Tafelrunde	Tablet
Tiefgarage	underground car park
Privatschule	Private school
Amulett	amulet
Bruchlandung	Fracture
Interviewer	interviewer
Baumhaus	tree house
Aufkleber	sticker
Kontext	context
Schließung	closure
(he)rausfallen	(Hey) fall out
einmarschieren	parade
Gynäkologe	gynecologist
Fratze	Fret
beglücken	conflict
erröten	blush
rosig	rosy
trüb	mumble
Selbstbeherrschung	Self-control
Vertrauter	Familiar
stattlich	handsome
aussätzig	leprous
vorteilhaft	advantageous
aushecken	bleed
Flugfeld	Airfield
auffangen	catch
Export	export
diesseits	on this side
krönen	crown
verbarrikadieren	barricade
unverbesserlich	incorrigible
unerbittlich	relentless
Duplikat	duplicate
zeitlich	temporal
mitreißen	drag
Kurzform	short form
Gemüt	mind
unermüdlich	tirelessly
Treibsand	Tribal
Metzgerei	Butcher's shop
Derby	Derby
störrisch	stubborn
Mysterium	Mystery
schieflaufen	go wrong
Begleiter	companion
Schlüsselbein	Clavicle
Inventur	Inventory
Rammbock	battering ram
Boxkampf	Boxing
tolerant	tolerant
Skalp	scalp
begeben	issue
wunderhübsch	wonderful
Verrücktheit	Madness
reizbar	irritable
Scharfsinn	Awkward
abnutzen	wear
Herrenhaus	Mansion
Sägemehl	sawdust
Verlobungsring	Engagement ring
massenweise	mass
unschädlich	harmless
unterkommen	condemn
hervorbringen	bring forth
festmachen	moor
rinnen	gut
abfackeln	flare up
durchfahren	drive through
Inferno	inferno
Weiblichkeit	femininity
diktieren	dictate
verschwören	seize
Fusel	Fusel
berechenbar	predictable
unvergesslich	unforgettable
unbestimmt	indefinitely
übermäßig	excessive
Magenschmerz	Stomach pain
Notlage	Emergency
Weihnachtskarte	Christmas card
Generalprobe	Sample
schälen	peel
entern	enter
Osteuropa	Eastern Europe
Zopf	Braid
Koordination	coordination
Schönheitssalon	Beauty salon
Großpapa	Big papa
Ausbruch	outbreak
ausschlagen	knock out
regulär	regular
Imitation	imitation
beaufsichtigen	supervise
erhältlich	available
Zweitbesetzung	Second occupation
Porzellan	porcelain
Schwimmbecken	Swimming pool
einzahlen	deposit
reinfahren	drive in
Himmelreich	Heaven
Mädchenname	Maidename
bewähren	prove
hierin	here in
ausbluten	bleed out
Nerz	mink
Erwähnung	mention
Bräune	tan
Schnitzel	schnitzel
Banknote	Banknote
Pensionierung	retirement
zuschreiben	attribute
unbarmherzig	merciless
Oberfeldwebel	Oberfeldebel
leger	casual
Entfernung	distance
Befehlsgewalt	Command
Verteidigungslinie	Defense line
Steg	web
rupfen	pluck
Spektrum	spectrum
schnellstmöglich	as soon as possible
siebzig	seventy
erkennbar	recognizable
Plackerei	Plackey
wiederbeleben	revive
ausfressen	eat out
Eishockey	ice Hockey
unbehaglich	uncomfortable
nachschlagen	look up
Ammoniak	ammonia
unausweichlich	inevitable
Sprengsatz	Explosive
Einigkeit	unity
reproduzieren	reproduce
Zaubertrick	Magic trick
Samariter	Samaritan
interstellar	interstellar
Orientierung	orientation
Überlebenschance	Chance
entspannend	relaxing
Zins	interest
Rächer	avenger
unrealistisch	unrealistic
Sonderkommando	special command unit
unzerstörbar	indestructible
ausspionieren	spine
Gehweg	side walk
Gendarmerie	Gendarmerie
seitens	side
ausradieren	rub out
herkriegen	ride
disziplinieren	discipline
Tischler	carpenter
Personalabteilung	Personnel department
überrumpeln	override
riesengroß	huge
entspringen	arise from
schizophren	schizophrenic
auskosten	offer
Bankwesen	Banking
Gewehrschuss	Rifle
Sandsturm	Sandstorm
wundersam	miraculous
Wortschatz	vocabulary
abzüglich	less
unvermeidbar	unavoidable
zahm	tame
ergo	ergo
Kreuzfeuer	Crossfire
Mordversuch	Murder attempt
Wandschrank	Closet
Einzelkind	Single child
Verteilung	distribution
Auslieferung	delivery
Makkaroni	macaroni
Murmeltier	marmot
Namensschild	Name tag
absaugen	suck
Präfekt	prefect
blubbern	bubble
Haupttor	Main gate
knackig	crisp
kollektiv	collective
Ödland	wasteland
Trainingslager	Training camp
Meeresfrüchte	seafood
Stammkunde	Regular
Wiedervereinigung	reunion
Täufer	baptist
multipel	multiple
Fruchtblase	Fruit bubble
Ansturm	Rush
rüberbringen	bring over
Morgendämmerung	Dawn
genehm	approval
verschleiern	disguise
Einöde	Seed
Galeere	galley
Zwangsarbeit	Forced labor
benebeln	bleed
mühelos	effortlessly
Platin	platinum
Stierkampf	Bullfighting
Schweinestall	Pigsty
Bestattung	funeral
Dackel	dachshund
überschlagen	skim
seiden	silk
schlaflos	sleepless
Schiffbruch	Shipwreck
Schachspiel	Chess game
erdenklich	impressive
Lustmolch	Lustmolch
Fortschritt	progress
erhellen	brighten up
aufwischen	mop up
Kajüte	cabin
wohlbehalten	safe
Heide	pagan
Polka	polka
selbstlos	selfless
herausschneiden	cut out
navigieren	navigate
keusch	chaste
ausreiten	ride out
Lämmchen	Lamb
geraum	gel
wohltätig	charitable
hinauswerfen	throw out
Racker	Rascal
wehrlos	defenseless
liquidieren	liquidate
Wunderland	Wonderland
Augenfarbe	Eye color
begierig	eager
Geschehnis	event
Zauberkraft	Maggot
Arier	Arier
paddeln	paddle
angeboren	innate
minder	less
verhöhnen	mock
Aufrührer	rebel
übermütig	cocky
ungenau	inaccurate
fertigstellen	complete
Manifest	manifest
Wohltätigkeit	Charity
vorankommen	move forward
Fischerboot	Fishing boat
rüde	male
Kleinholz	Small wood
Brautpaar	Bridal
amtlich	official
einschnappen	snap
Notbremse	Emergency brake
Riesenfehler	Giant
Polster	pad
gegenübertreten	oppose
kennzeichnen	mark
meditieren	meditate
Gebräu	brew
appellieren	appeal
rausrutschen	slip out
Schwachsinn	Nonsense
verheerend	devastating
Badehaus	Bathhouse
Piste	piste
fürsorglich	careful
Redewendung	Phrase
vergänglich	transient
Schmiergeld	Lubrication
halbnackt	half-naked
Stabschef	chief of staff
bereisen	travel
Frevel	Frost
inhalieren	inhale
unorthodox	unorthodox
im Endeffekt	in the end
Patent	patent
Gesinnung	attitude
Mund	mouth
wühlen	dig
Punktzahl	score
regeln	regulate
Verb.	Verb.
ausspielen	play out
Tarantel	tarantula
offenkundig	obvious
vorherbestimmen	predict
liebkosen	caress
Statur	stature
Pseudonym	pseudonym
komischerweise	strange
Kostüm	costume
Entlein	duckling
strategisch	strategically
überdauern	outlive
Provinz	province
Privateigentum	Private property
nachprüfen	check
Larve	larva
beherbergen	harbor
abtauchen	dive
Benefizveranstaltung	Charity
prall	plump
Fleischfresser	Carnivore
legitim	legit
vertiefen	deepen
Signalton	Beep
unentdeckt	undetected
Sprengladung	Crackling
zweifelhaft	doubtful
verkohlen	char
Belang	Relevant
entheben	relieve
Wettervorhersage	Weather forecast
Gepäckträger	Luggage rack
duften	smell
Abreibung	Rubbing
hinken	limp
Befürchtung	apprehension
Herberge	hostel
Kaste	caste
Anomalie	anomaly
frühzeitig	early
ringsum	round
Obduktion	autopsy
Keuschheit	chastity
buddeln	dig
Kaffeemaschine	coffee machine
ausbeuten	exploit
Unterhändler	Negotiator
Paarung	pairing
Yak	yak
ausgleichen	compensate
Zündschnur	Cord
konform	compliant
Gesuch	Search
fortpflanzen	reproduce
anschalten	turn on
Armaturenbrett	dashboard
Bardame	barmaid
Haschisch	hashish
rühmen	praise
Elektrik	Electrics
taktisch	tactical
rapide	rapid
beurlauben	vacuum
maskieren	mask
Mätresse	mistress
Seifenoper	Soap opera
zudröhnen	swatch
Kondensator	capacitor
fortgeschritten	advanced
Rechtssystem	Legal system
Geschlechtskrankheit	Sexual disease
hinfliegen	fly
Augapfel	eyeball
verkorksen	cork
Verfolgungswahn	Persecution
Erdöl	oil
haarig	haired
im Nachhinein	in retrospect
Beschädigung	damage
hierherkommen	come here
Verbraucher	consumer
frigide	frigid
Ladendiebstahl	Shoplift
Münztelefon	payphone
Panther	Panther
Bauchspeicheldrüse	pancreas
Ideologie	ideology
(he)runterziehen	(Hey)
Urknall	Big Bang
Raster	Grid
Lümmel	lout
Geländewagen	Scroll
Belegschaft	Workforce
Zauberformel	Magical formula
Judentum	Judaism
Sterblichkeit	mortality
Weihnachtstag	Christmas Day
Ortung	Location
grünlich	greenish
fragil	fragile
Naturell	Nature
fortwährend	continual
necken	tease
Besuch	visit
verwerfen	discard
zusammenhängen	contour
Stadtrand	suburban
feurig	fiery
erkenntlich	detachable
Ansammlung	collection
heidnisch	pagan
Anstoß	kicking off
Enthüllung	revelation
Kollaps	collapse
unsinnig	nonsensical
präparieren	prepare
Menschenblut	Crude
nutzbar	usable
Versteckspiel	Hide and seek
leblos	lifeless
Diva	diva
Weibsbild	Fashion
Leopard	leopard
hurtig	whining
einfügen	insert
todmüde	fatigue
Humbug	humbug
wittern	wander
Admiralität	Admiralty
Inhaber	owner
Schläfchen	nap
Mittelamerika	Central America
bezwecken	purpose
frontal	frontal
bereitwillig	readily
Glücksfall	Stroke of luck
Schönling	Sweetheart
nachdenklich	pensive
Modenschau	Fashion show
Hauptgewinn	Privacy
jonglieren	juggle
bemerkbar	noticeable
grimmig	grim
umringen	surround
einlaufen	paved
Vorväter	Forefater
Beschuldigung	accusation
redlich	honest
unentwegt	undisguised
sehnsüchtig	yearning
dienstlich	official
Diplomatie	diplomacy
trügen	tries
Einfaltspinsel	Plumbing
Wundbrand	Woundbrand
Durchführung	execution
unterdessen	meanwhile
gegeben	given
Zwillingsschwester	twin sister
freundschaftlich	friendly
Sonntagnachmittag	Sunday afternoon
Schießerei	shoot-out
miterleben	persist
Signalhorn	Signal horn
farbenblind	color-blind
ritzen	scratch
Grauen	Gray
Ständchen	serenade
Gewinn	Profit
imponieren	impress
unverwundbar	invulnerable
Walross	walrus
durchkreuzen	cross
spürbar	noticeable
Titan	titanium
Warteliste	Waiting list
lebensgefährlich	dangerous
alltäglich	everyday
schlimmstenfalls	at the worst case
unweigerlich	inevitably
